72,7,1
455,53,1
72,172,1
72,181,1
409,201,1
72,222,1
72,228,1
72,229,1
72,230,1
409,264,1
409,266,1
72,271,1
409,288,1
409,289,1
72,380,1
409,518,1
72,647,1
409,680,1
409,879,1
409,890,1
409,1295,1
409,1392,1
409,1393,1
455,15,2
409,22,2
409,28,2
455,39,2
455,42,2
455,47,2
409,48,2
72,50,2
409,115,2
409,156,2
72,176,2
409,200,2
455,255,2
455,259,2
409,270,2
455,288,2
455,301,2
409,321,2
455,321,2
409,322,2
409,327,2
409,339,2
409,381,2
409,404,2
409,485,2
409,491,2
409,504,2
409,520,2
455,582,2
409,676,2
72,679,2
409,705,2
409,876,2
409,877,2
409,937,2
409,965,2
455,1028,2
455,1034,2
409,1065,2
409,1093,2
409,1097,2
409,1159,2
409,1242,2
409,1328,2
409,1360,2
72,2,3
455,4,3
409,8,3
455,11,3
455,12,3
455,14,3
455,17,3
455,20,3
455,24,3
455,25,3
72,38,3
455,40,3
455,44,3
455,52,3
72,54,3
455,58,3
455,65,3
72,68,3
455,70,3
455,71,3
72,81,3
72,82,3
409,83,3
409,87,3
455,87,3
72,89,3
455,89,3
409,99,3
455,117,3
72,118,3
72,121,3
455,123,3
455,125,3
455,144,3
455,148,3
455,159,3
455,170,3
72,170,3
409,173,3
455,176,3
409,187,3
409,197,3
409,202,3
72,203,3
409,205,3
409,207,3
455,214,3
72,220,3
455,222,3
455,230,3
455,237,3
72,237,3
455,239,3
455,245,3
455,250,3
455,252,3
455,279,3
455,281,3
455,282,3
455,289,3
455,291,3
455,292,3
409,300,3
455,304,3
455,317,3
455,318,3
455,323,3
409,326,3
455,334,3
409,338,3
409,343,3
409,367,3
455,380,3
455,382,3
455,385,3
455,393,3
72,403,3
72,405,3
455,405,3
409,435,3
72,443,3
455,455,3
72,461,3
409,461,3
455,462,3
455,465,3
409,481,3
409,486,3
409,497,3
409,499,3
409,526,3
455,529,3
455,531,3
409,538,3
455,546,3
455,553,3
455,581,3
455,597,3
409,609,3
455,620,3
455,627,3
455,629,3
409,631,3
409,632,3
409,654,3
409,657,3
72,664,3
455,678,3
455,692,3
72,699,3
455,709,3
409,714,3
455,716,3
455,724,3
455,727,3
455,736,3
455,738,3
455,744,3
409,749,3
455,755,3
455,770,3
72,792,3
455,898,3
455,924,3
455,934,3
409,945,3
455,1086,3
72,1110,3
455,1136,3
455,1137,3
455,1171,3
455,1174,3
455,1265,3
409,1346,3
409,1379,3
455,1,4
72,1,4
455,2,4
72,5,4
409,6,4
455,7,4
455,8,4
409,9,4
455,9,4
409,12,4
455,22,4
409,23,4
72,23,4
72,28,4
455,28,4
409,30,4
455,31,4
409,45,4
72,48,4
72,51,4
455,57,4
409,58,4
72,58,4
409,61,4
455,64,4
409,65,4
72,69,4
455,69,4
72,70,4
72,77,4
455,77,4
72,79,4
455,79,4
409,79,4
72,87,4
455,95,4
455,96,4
72,97,4
455,98,4
455,100,4
72,106,4
409,116,4
72,117,4
455,118,4
455,121,4
72,124,4
455,124,4
409,127,4
72,129,4
409,133,4
72,135,4
409,136,4
455,147,4
409,153,4
455,161,4
409,162,4
455,164,4
409,165,4
409,166,4
409,170,4
409,171,4
455,172,4
455,173,4
455,174,4
409,174,4
409,175,4
72,177,4
72,180,4
409,181,4
455,181,4
455,183,4
72,187,4
72,188,4
409,192,4
455,193,4
72,194,4
409,195,4
72,196,4
455,196,4
409,199,4
72,204,4
455,204,4
409,206,4
72,210,4
409,210,4
409,211,4
409,213,4
455,213,4
409,214,4
72,215,4
409,216,4
455,217,4
409,223,4
455,223,4
72,226,4
455,228,4
72,233,4
72,234,4
455,234,4
72,241,4
455,241,4
455,257,4
72,265,4
455,265,4
455,269,4
455,270,4
455,275,4
409,275,4
409,276,4
455,276,4
455,277,4
409,283,4
409,285,4
455,293,4
455,298,4
455,300,4
409,303,4
455,307,4
455,313,4
409,318,4
409,325,4
455,343,4
72,356,4
72,357,4
455,372,4
72,382,4
409,382,4
455,402,4
72,402,4
455,428,4
409,428,4
409,430,4
409,433,4
455,435,4
455,447,4
455,449,4
455,463,4
72,466,4
409,466,4
72,471,4
455,471,4
455,475,4
409,475,4
72,476,4
409,478,4
72,479,4
409,482,4
409,483,4
72,484,4
409,484,4
409,493,4
409,498,4
72,504,4
455,504,4
455,508,4
72,509,4
72,515,4
455,515,4
409,516,4
455,518,4
72,518,4
72,521,4
409,523,4
455,523,4
